Hankey; Maurice Pascal Alers (1877 - 1963); 1st Baron Hankey of the Chart,Statute 12,18/06/1942
Hanmer; Edward (1758 - 1821),Fellow,23/01/1817
Hanmer; Sir; Thomas (1747 - 1828),Fellow,21/06/1804
Hanna; David Colin,Fellow,14/05/1998
Hannen; James (1821 - 1894); Baron Hannen,Fellow,12/03/1891
Hannisius; David (- 1681),Fellow,30/11/1678
Hannon; Gregory James,Fellow,09/05/2018
Hansen; Jean-Pierre,Fellow,13/05/2002
Hansen; Peter Andreas (1795 - 1874),Foreign Member,4/06/1835
Hanski; Ilkka Aulis (1953 - 2016),Foreign Member,26/05/2005
Hansler; Sir; John Jacob (1788 - 1867),Fellow,18/01/1838
Hanson; Emmeline Jean (1919 - 1973),Fellow,16/03/1967
Hansteen; Christopher (1784 - 1873),Foreign Member,30/05/1839
Harberd; Nicholas Paul; Professor,Fellow,14/05/2009
Harborne; Jeffrey Barry (1928 - 2002),Fellow,09/03/1995
Harby; Sir; Erasmus (1628 - 1674),Fellow,16/04/1668
Harcourt; Augustus George Vernon (1834 - 1919),Fellow,4/06/1868
Harcourt; Simon (1714 - 1777); 1st Earl Harcourt,Fellow,15/03/1753
Harcourt; Sir; William George Granville Venables Vernon (1827 - 1904),Fellow,15/12/1881
Harcourt; William Venables Vernon (1789 - 1871),Fellow,29/04/1824
Harden; Sir; Arthur (1865 - 1940),Fellow,06/05/1909
Hardenberg; Friedrich August von (1700 - 1768),Fellow,13/06/1745
Hardie; David Grahame,Fellow,17/05/2007
Hardie; Roger; Professor,Fellow,20/05/2010
Harding; Karl Ludwig (1765 - 1834),Fellow,17/04/1806
Harding; Wyndham (1818 - 1855),Fellow,3/06/1852
Hardinge; Caleb (1701 - 1775),Fellow,15/03/1753
Hardinge; George (1743 - 1816),Fellow,3/04/1788
Hardwick; John (1791 - 1875),Fellow,5/04/1838
Hardwick; Philip (1792 - 1870),Fellow,8/12/1831
Hardwicke; Thomas (? 1755 - 1835),Fellow,8/04/1813
Hardy; Godfrey Harold (1877 - 1947),Fellow,05/05/1910
Hardy; John,Fellow,14/05/2009
Hardy; Peter (1813 - 1863),Fellow,17/01/1839
Hardy; Sir; Alister Clavering (1896 - 1985),Fellow,14/03/1940
Hardy; Sir; William Bate (1864 - 1934),Fellow,05/06/1902
Hare; Francis George (- 1842),Fellow,10/12/1812
Hare; Henry (1693 - 1749); 3rd Baron Coleraine,Fellow,8/01/1730
Harford; John Scandret (1785 - 1866),Fellow,29/05/1823
Hargraves; James (- 1741),Fellow,7/07/1726
Hargreave; Charles James (1820 - 1866),Fellow,18/04/1844
Harington; Sir; Charles Robert (1897 - 1972),Fellow,07/05/1931
Harish-Chandra (1923 - 1983),Fellow,15/03/1973
Harker; Alfred (1859 - 1939),Fellow,05/06/1902
Harker; John Allen (1870 - 1923),Fellow,05/05/1910
Harkness; Robert (1816 - 1878),Fellow,5/06/1856
Harland; Richard Mark,Fellow,28/03/2019
Harland; Sydney Cross (1891 - 1982),Fellow,18/03/1943
Harley; Edward (1689 - 1741); 2nd Earl of Oxford and Mortimer,Fellow,23/11/1727
Harley; George (1829 - 1896),Fellow,1/06/1865
Harley; John Laker (1911 - 1990),Fellow,19/03/1964
Harley; Robert (1661 - 1724); 1st Earl of Oxford and Mortimer,Fellow,20/03/1712
Harley; Robert (1828 - 1910),Fellow,4/06/1863
Harley; Sir; Edward (1624 - 1700),Fellow,22/07/1663
Harley; Sir; Robert (1626 - 1673),Original Fellow,14/08/1661 (Hunter); 21/08/1661 (JB)
Harley; Thomas (- c 1685),Fellow,30/05/1667
Harmer; Sir; Sidney Frederic (1862 - 1950),Fellow,9/06/1898
Harper; John (- 1735),Fellow,9/03/1727
Harper; John Lander; Professor,Fellow,16/03/1978
Harper; Samuel (fl 1766),Fellow,24/04/1766
Harren; Jhoti,Fellow,09/05/2018
Harrington; Edward (- 1757),Fellow,4/04/1734
Harrington; William (- 1671),Fellow,21/03/1666
Harris; Daniel (- 1775),Fellow,24/03/1768
Harris; Geoffrey Wingfield (1913 - 1971),Fellow,19/03/1953
Harris; Harry (1919 - 1994),Fellow,17/03/1966
Harris; James (1709 - 1780),Fellow,23/06/1763
Harris; John (c 1666 - 1719),Fellow,29/04/1696
Harris; John Edward (1910 - 1968),Fellow,15/03/1956
Harris; John Edwin (1932 - 2009),Fellow,17/03/1988
Harris; John Greathed (c 1774 - 1850),Fellow,5/02/1835
Harris; Samuel (1682 - 1733),Fellow,1/11/1722
Harris; Sir; Henry (1925 - 2014),Fellow,21/03/1968
Harris; Sir; William Snow (1791 - 1867),Fellow,2/06/1831
Harris; Thomas Maxwell (1903 - 1983),Fellow,18/03/1948
Harris; William Anthony,Fellow,17/05/2007
Harrison; Bryan Desmond,Fellow,19/03/1987
Harrison; Richard,Foreign Member,30/04/2014
Harrison; Ross Granville (1870 - 1959),Foreign Member,23/05/1940
Harrison; Roy Michael,Fellow,04/05/2017
Harrison; Sir; George (- 1841),Fellow,5/02/1807
Harrison; Sir; Richard John (1920 - 1999),Fellow,15/03/1973
Harrison; Thomas (1771 - 1824),Fellow,7/06/1804
Harrison; Thomas Charles (c 1793 - 1858),Fellow,8/05/1845
Harrison; William (1728 - 1815),Fellow,9/05/1765
Harrison; William (fl 1815),Fellow,11/05/1815
Hart; Michael,Fellow,18/03/1982
Hartley; Brian Selby,Fellow,18/03/1971
Hartley; David (? 1705 - 1757); Physician,Fellow,25/03/1736
Hartley; Percival (1881 - 1957); Biochemist,Fellow,06/05/1937
Hartley; Sir; Harold Brewer (1878 - 1972); Engineer,Fellow,06/05/1926
Hartley; Sir; Walter Noel (1847 - 1913); chemist,Fellow,12/06/1884
Hartline; Haldan Keffer (1903 - 1983),Foreign Member,21/04/1966
Hartopp; George Harry Fleetwood (1785 - 1824),Fellow,2/03/1815
Hartree; Douglas Rayner (1897 - 1958); Mathematician and Theoretical Physicist,Fellow,05/05/1932
Hartridge; Hamilton (1886 - 1976); Physiologist and Inventor,Fellow,06/05/1926
Harvey; Eliab (1716 - 1769),Fellow,29/03/1764
Harvey; George (- 1834),Fellow,5/05/1825
Harvey; Henry (fl 1825 - 1837),Fellow,17/02/1825
Harvey; Hildebrand Wolfe (1887 - 1970),Fellow,22/03/1945
Harvey; Paul H,Fellow,12/03/1992
Harvey; Richard Paul,Fellow,28/04/2016
Harvey; Sir; Robert John (1785 - 1860),Fellow,2/04/1835
Harvey; William Henry (1811 - 1866),Fellow,3/06/1858
Harwood; John (1661 - 1731),Fellow,3/11/1686
Harwood; John (fl 1827),Fellow,24/05/1827
Harwood; Sir; Busick (c 1745 - 1814),Fellow,27/05/1784
Haselden; Thomas (- 1740),Fellow,17/01/1740
Hassabis; Demis,Fellow,09/05/2018
Hassall; Cedric Herbert (1919 - 2017),Fellow,21/03/1985
Hassell; Michael Patrick,Fellow,19/03/1987
Hassell; Richard (- 1770),Fellow,12/05/1726
Hasted; Edward (1732 - 1812),Fellow,8/05/1766
Hasted; Henry (1771 - 1852),Fellow,9/01/1812
Hastie; Nicholas Dixon,Fellow,13/05/2002
Hastings; Francis (1729 - 1789); 10th Earl of Huntingdon,Fellow,2/03/1758
Hastings; Michael,Fellow,20/05/2010
Hastings; Warren (1732 - 1818),Fellow,25/06/1801
Haswell; William Aitcheson (1854 - 1925),Fellow,3/06/1897
Haszeldine; Robert Neville,Fellow,21/03/1968
Hatch; Marshall Davidson,Fellow,20/03/1980
Hatchett; Charles (1765 - 1847); Chemist and Mineralogist,Fellow,9/03/1797
Hatfield; William Herbert (1882 - 1943),Fellow,16/05/1935
Hattersley; Andrew Tym,Fellow,20/05/2010
Hatton; Christopher (1605 - 1670); 1st Baron Hatton,Original Fellow,20/05/1663
Hatton; George Finch (1747 - 1823),Fellow,7/12/1775
Hatton; Sir; Ronald George (1886 - 1965),Fellow,16/03/1944
Haughton; Samuel (1821 - 1897),Fellow,3/06/1858
Haughton; Sidney Henry (1888 - 1982),Fellow,16/03/1961
Haughton; Sir; Graves Champney (1788 - 1849),Fellow,15/11/1821
Hauksbee; Francis (c 1660 - 1713),Fellow,30/11/1705
Hauser; Hermann Maria,Fellow,19/04/2012
Hausser; Michael Andreas,Fellow,30/04/2015
Hautefeuille; Jean de (1647 - 1724),Fellow,14/12/1687
Hauy; Rene Just (1743 - 1822),Foreign Member,12/03/1818
Havelock; Sir; Thomas Henry (1877 - 1968),Fellow,07/05/1914
Havers; Clopton (1657 - 1702),Fellow,17/11/1686
Hawker; Craig jon,Fellow,20/05/2010
Hawkes; Leonard (1891 - 1981),Fellow,20/03/1952
Hawkesworth; Christopher John,Fellow,13/05/2002
Hawking; Stephen William (1942 - 2018),Fellow,21/03/1974
Hawkins; Caesar Henry (1798 - 1884),Fellow,5/06/1856
Hawkins; Edward (1780 - 1867),Fellow,24/05/1821
Hawkins; Francis Bisset (1796 - 1894),Fellow,18/12/1834
Hawkins; Herbert Leader (1887 - 1968),Fellow,06/05/1937
Hawkins; John (1761 - 1841),Fellow,5/05/1791
Hawkins; John (fl 1826),Fellow,12/01/1826
Hawkins; John Heywood (1802 - 1877),Fellow,10/06/1830
Hawkins; Philip Thomas,Fellow,02/05/2013
Hawkins; Sir; Christopher (1758 - 1829),Fellow,21/12/1815
Hawkins; William Bentinck Letham (1802 - 1894),Fellow,19/11/1835
Hawkshaw; Sir; John (1811 - 1891),Fellow,7/06/1855
Hawksley; Thomas (1807 - 1893),Fellow,6/06/1878
Hawley; James (1706 - 1777),Fellow,1/05/1740
Haworth; Lionel (1912 - 2000),Fellow,18/03/1971
Haworth; Robert Downs (1898 - 1990),Fellow,16/03/1944
Haworth; Sir; Walter Norman (1883 - 1950),Fellow,10/05/1928
Hawthorne; Sir; William Rede (1913 - 2011),Fellow,17/03/1955
Hay; Alexander (fl 1778),Fellow,18/06/1778
Hay; Allan Stuart,Fellow,19/03/1981
Hay; Arthur (1824 - 1878); 9th Marquess of Tweeddale,Fellow,8/06/1871
Hay; George (- 1758); 8th Earl of Kinnoull,Fellow,20/03/1712
Hay; John (1626 - 1697); 1st Marquis of Tweeddale,Fellow,3/02/1664
Hay; John (1645 - 1713); 2nd Marquess of Tweeddale,Fellow,23/05/1666
Hay; Robert William (c 1787 - 1861),Fellow,3/03/1814
Hay; Ronald,Fellow,20/05/2010
Hay; Sir; Andrew Leith (1785 - 1862),Fellow,18/12/1834
Hayday; Adrian Clive,Fellow,28/04/2016
Hayden; Sir; Henry Hubert (1869 - 1923),Fellow,06/05/1915
Haydon; Denis Arthur (1930 - 1988),Fellow,20/03/1975
Hayes; John Michael (1940 - 2017),Foreign Member,28/04/2016
Hayes; Sir; James (- 1693),Original Fellow,20/05/1663
Hayes; William (1913 - 1994),Fellow,19/03/1964
Haygarth; John (1740 - 1827),Fellow,8/02/1781
Hayman; Walter Kurt (1926 - 2020),Fellow,15/03/1956
Haynes; Edward (fl 1683 - 1708),Fellow,2/05/1683
Haynes; Peter Howard,Fellow,28/03/2019
Hayter; Thomas (1702 - 1762),Fellow,22/03/1750
Hayward; Robert Baldwin (1829 - 1903),Fellow,1/06/1876
Hayward; Sir; William (c 1617 - 1704),Fellow,17/05/1665
Hazard; Richard (- 1784),Fellow,4/06/1752
Head; Alan Kenneth (1925 - 2010),Fellow,17/03/1988
Head; Sir; Edmund Walker (1805 - 1868),Fellow,16/04/1863
Head; Sir; Henry (1861 - 1940),Fellow,1/06/1899
Head-Gordon; Martin,Fellow,28/03/2019
Healde; Thomas (c 1724 - 1789),Fellow,21/06/1770
Heap; Sir; Robert Brian (1935-),Fellow,16/03/1989
Heape; Walter (1855 - 1929),Fellow,03/05/1906
Heard; Edith,Fellow,02/05/2013
Heath; Benjamin (- 1817),Fellow,30/04/1778
Heath; George (fl 1795),Fellow,26/03/1795
Heath; George Crawford (c 1794 - 1860),Fellow,28/05/1818
Heath; John Benjamin (1790 - 1879),Fellow,2/02/1843
Heath; Oscar Victor Sayer (1903 - 1997),Fellow,24/03/1960
Heath; Sir; Thomas Little (1861 - 1940),Fellow,02/05/1912
Heath-Brown; David Rodney Roger (1952 -),Fellow,11/03/1993
Heathcote; George (1700 - 1768),Fellow,16/01/1729
Heathcote; Henry (- 1727),Fellow,30/06/1720
Heathcote; John (- 1795),Fellow,12/05/1768
Heathcote; Sir; Gilbert (1652 - 1733),Fellow,30/11/1705
Heathcote; Sir; Thomas (1721 - 1787),Fellow,16/05/1751
Heaviside; John (1748 - 1828),Fellow,14/12/1797
Heaviside; Oliver (1850 - 1925),Fellow,4/06/1891
Hebb; Donald Olding (1904 - 1985),Fellow,17/03/1966
Heberden; Thomas (1703 - 1769); Physician,Fellow,10/12/1761
Heberden; William (1710 - 1801); Physician,Fellow,25/01/1750
Heberden; William (1767 - 1845),Fellow,24/02/1791
Hector; Sir; James (1834 - 1907),Fellow,7/06/1866
Hedwig; Johann (1730 - 1799),Fellow,3/04/1788
Hegde; Ramanujan Shankar,Fellow,28/04/2016
Hegerl; Gabriele Clarissa,Fellow,04/05/2017
Heidelberger; Michael (1888 - 1991),Foreign Member,24/04/1975
Heidenhain; Rudolph Peter Heinrich (1834 - 1897),Foreign Member,4/03/1897
Heilbron; Sir; Ian Morris (1886 - 1959),Fellow,07/05/1931
Heilbronn; Hans Arnold (1908 - 1975),Fellow,15/03/1951
Heim; Albert (1849 - 1937),Foreign Member,26/11/1896
Heine; Volker,Fellow,21/03/1974
Heinson; Johann Theodor (1666 - 1726),Fellow,30/11/1692
Heisenberg; Werner Karl (1901 - 1976),Foreign Member,28/04/1955
Heister; Lawrence (1683 - 1758),Fellow,17/12/1730
Heitler; Walter Heinrich (1904 - 1981),Fellow,18/03/1948
Hele-Shaw; Henry Selby (1854 - 1941),Fellow,1/06/1899
Hellins; John (? 1749 - 1827),Fellow,22/12/1796
Hellot; Jean (1685 - 1766),Fellow,23/10/1740
Helmert; Friedrich Robert (1843 - 1917),Foreign Member,04/06/1908
Helmfeld; Gustavus (1651 - 1674),Fellow,21/04/1670
Helmholtz; Hermann Ludwig Ferdinand von (1821 - 1894),Foreign Member,24/05/1860
Helvetius; Jean Claude Adrian (1685 - 1755),Fellow,24/04/1755
Helvetius; Johan Anton (fl 1763),Fellow,10/02/1763
Hely-Hutchinson; John (1724 - 1794),Fellow,6/03/1794
Hemingway; Janet,Fellow,19/05/2011
Hemming; Samuel (- 1785),Fellow,20/06/1776
Hemmings; Brian Arthur,Fellow,14/05/2009
Hems; Benjamin Arthur (1912 - 1995),Fellow,20/03/1969
Hemsley; William Botting (1843 - 1924),Fellow,6/06/1889
Henchman; Humphrey (1592 - 1675),Fellow,29/03/1665
Henderson; David Willis Wilson (1903 - 1968),Fellow,19/03/1959
Henderson; George Gerald (1862 - 1942),Fellow,11/05/1916
Henderson; George Hugh (1892 - 1949),Fellow,19/03/1942
Henderson; Gideon Mark,Fellow,02/05/2013
Henderson; James (c 1783 - 1848),Fellow,28/04/1831
Henderson; Richard,Fellow,17/03/1983
Henderson; Sir; William MacGregor (1913 - 2000); Veterinary Surgeon,Fellow,18/03/1976
Henderson; Thomas (1798 - 1844); Astronomer,Fellow,9/04/1840
Henfrey; Arthur (1819 - 1859),Fellow,3/06/1852
Henle; Franz Gustav Jakob (1809 - 1885),Foreign Member,27/11/1873
Henley; John (fl 1693 - 1706),Fellow,30/11/1693
Henly; William (fl 1773),Fellow,20/05/1773
Hennell; Henry (- 1842),Fellow,12/03/1829
Hennessey; John Baboneau Nickterlien (1829 - 1910),Fellow,3/06/1875
Hennessy; Henry (1826 - 1901),Fellow,3/06/1858
Henniker; John (1724 - 1803); Baron Henniker,Fellow,11/11/1779
Henrici; Olaus Magnus Friedrich Erdmann (1840 - 1918),Fellow,4/06/1874
Henricksen; Henry (1715 - 1780),Fellow,10/02/1743
Henry Frederick William (1745 - 1790); Duke of Cumberland and Strathearn,Royal Fellow,26/01/1789
Henry William Frederick Albert (1900 - 1974); Duke of Gloucester,Royal Fellow,08/12/1938
Henry; Thomas (1734 - 1816),Fellow,18/05/1775
Henry; Thomas Hetherington (c 1816 - 1859),Fellow,23/04/1846
Henry; William (- 1768),Fellow,20/02/1755
Henry; William (1774 - 1836); Chemist,Fellow,23/02/1809
Henry; William Charles (1804 - 1892),Fellow,10/04/1834
Henshaw; Nathaniel (1628 - 1673),Original Fellow,20/05/1663
Henshaw; Thomas (1618 - 1700),Original Fellow,22/04/1663
Henslow; Sir; John (fl 1794),Fellow,20/03/1794
Henwood; William Jory (1805 - 1875),Fellow,27/02/1840
Herapath; William Bird (1820 - 1868); Surgeon,Fellow,9/06/1859
Herbert; Henry (1693 - 1750); 9th Earl of Pembroke and 6th Earl of Montgomery,Fellow,15/12/1743
Herbert; Henry Howard Molyneux (1831 - 1890); 4th Earl of Carnarvon,Fellow,8/04/1875
Herbert; Henry John George (1800 - 1849); 3rd Earl of Carnarvon,Fellow,27/05/1841
Herbert; John (c 1647 -),Fellow,13/12/1677
Herbert; Thomas (1656 - 1733); 8th Earl of Pembroke and 5th Earl of Montgomery,Fellow,13/05/1685
Herdman; Sir; William Abbott (1858 - 1924),Fellow,2/06/1892
Hering; Karl Ewald Konstantin (1834 - 1918),Foreign Member,27/11/1902
Herissant; Francois David (1714 - 1771),Fellow,1/11/1750
Hermann; Ludimar (1838 - 1914),Foreign Member,11/03/1905
Hermite; Charles (1822 - 1901),Foreign Member,27/11/1873
Heron-Allen; Edward (1861 - 1943),Fellow,15/05/1919
Herschel; Alexander Stewart (1836 - 1907); Astronomer,Fellow,12/06/1884
Herschel; John (1837 - 1921),Fellow,8/06/1871
Herschel; Sir; John Frederick William (1792 - 1871); Astronomer,Fellow,27/05/1813
Herschel; Sir; William (1738 - 1822); Astronomer,Fellow,6/12/1781
Herschell; Farrer (1837 - 1899); 1st Baron Herschell,Fellow,21/01/1892
