Robertson; Alan (1920 - 1989),Fellow,19/03/1964
Robertson; Alexander (1896 - 1970),Fellow,20/03/1941
Robertson; Andrew (1883 - 1977); mechanical engineer,Fellow,14/03/1940
Robertson; Archibald (1789 - 1864),Fellow,11/02/1836
Robertson; Elizabeth Jane,Fellow,15/05/2003
Robertson; James (1753 - 1829),Fellow,13/12/1810
Robertson; John,Fellow,30/04/2015
Robertson; John (1712 - 1776),Fellow,17/12/1741
Robertson; John Monteath (1900 - 1989),Fellow,22/03/1945
Robertson; Muriel (1883 - 1973),Fellow,20/03/1947
Robertson; Robert (1742 - 1829),Fellow,31/05/1804
Robertson; Sir; Robert (1869 - 1949),Fellow,03/05/1917
Robertson; Sir; Rutherford Ness (1913 - 2001),Fellow,16/03/1961
Robins; Benjamin (1707 - 1751),Fellow,9/11/1727
Robinson; Carol Vivien,Fellow,27/05/2004
Robinson; Derek Charles (1941 - 2002),Fellow,10/03/1994
Robinson; Frederick John (1782 - 1859); 1st Earl of Ripon,Fellow,17/04/1828
Robinson; George Frederick Samuel (1827 - 1909); 1st Marquess of Ripon,Fellow,24/05/1860
Robinson; Gilbert Wooding (1888 - 1950),Fellow,18/03/1948
Robinson; Harold Roper (1889 - 1955),Fellow,02/05/1929
Robinson; Isaac (- 1839),Fellow,26/11/1829
Robinson; Margaret Scott,Fellow,19/04/2012
Robinson; Richard (- 1733),Fellow,23/11/1681
Robinson; Sir; Robert (1886 - 1975); Chemist,Fellow,13/05/1920
Robinson; Sir; Robert Spencer (1809 - 1889),Fellow,3/06/1869
Robinson; Sir; Thomas (c 1703 - 1777),Fellow,30/11/1726
Robinson; Stephen Joseph,Fellow,18/03/1976
Robinson; Tancred (c 1657 - 1748),Fellow,19/11/1684
Robinson; Thomas Romney (1792 - 1882),Fellow,5/06/1856
Robison; Robert (1883 - 1941),Fellow,15/05/1930
Robson; John Gair,Fellow,15/05/2003
Robson; Peter Neville,Fellow,19/03/1987
Roby; Thomas (1689 - 1729),Fellow,15/04/1725
Rochester; George Dixon (1908 - 2001),Fellow,20/03/1958
Rockefeller; John Davison (1874 - 1960),Statute 12,08/06/1939
Rodenburg; John Marius (),Fellow,28/03/2019
Roderick; Richard (- 1756),Fellow,21/06/1750
Roebuck; John (1718 - 1794),Fellow,12/07/1764
Rogers; Arthur William (1872 - 1946),Fellow,02/05/1918
Rogers; Charles (1711 - 1784),Fellow,17/11/1757
Rogers; Claude Ambrose (1920 - 2005),Fellow,19/03/1959
Rogers; George (fl 1789 - 1816),Fellow,19/11/1789
Rogers; Henry Darwin (1808 - 1866),Fellow,03/06/1858
Rogers; John (1647 - 1715),Fellow,13/04/1681
Rogers; John (1807 - 1867),Fellow,5/12/1839
Rogers; Joseph (c 1676 - ? 1757),Fellow,15/06/1738
Rogers; Leonard James (1862 - 1933),Fellow,15/05/1924
Rogers; Samuel (1763 - 1855),Fellow,17/11/1796
Rogers; Sir; Leonard (1868 - 1962),Fellow,11/05/1916
Rogerson; John (1741 - 1823),Fellow,6/05/1779
Roget; Peter Mark (1779 - 1869),Fellow,16/03/1815
Rogosinski; Werner Wolfgang (1894 - 1964),Fellow,18/03/1954
Roitt; Ivan Maurice,Fellow,17/03/1983
Rokewode; John Gage (1786 - 1842),Fellow,8/04/1824
Rolleston; George (1829 - 1881),Fellow,5/06/1862
Rolli; Paolo Antonio (1687 - ? 1767),Fellow,11/12/1729
Rolt; Thomas (1641 - 1672),Fellow,14/12/1664
Romanes; George John (1848 - 1894),Fellow,12/06/1879
Romer; Alfred Sherwood (1894 - 1973),Foreign Member,24/04/1969
Romer; Sir; Robert (1840 - 1918),Fellow,14/12/1899
Romilly; Isaac (- 1759),Fellow,12/05/1757
Ron; David,Fellow,30/04/2014
Ronalds; Sir; Francis (1788 - 1873),Fellow,1/02/1844
Rooke; Lawrence (1622 - 1662),Founder Fellow,30/11/1660
Rooke; Sir; Denis Eric,Fellow,16/03/1978
Room; Thomas Gerald (1902 - 1986),Fellow,20/03/1941
Roos; John Frederick Fitzgerald De (1804 - 1861),Fellow,9/06/1831
Roper; Warren Richard,Fellow,16/03/1989
Rorsman; Patrick,Fellow,30/04/2014
