Alexander; Robert (1795 - 1843),Fellow,26/11/1835
Alexander; Robert McNeill (1934 - 2016),Fellow,19/03/1987
Alfred Ernest Albert (1844 - 1900); Duke of Edinburgh and Duke of Saxe-Coburg and Gotha,Royal Fellow,16/03/1882
Alfven; Hannes Olof Gosta (1908 - 1995),Foreign Member,24/04/1980
Algarotti; Francesco (1712 - 1764),Fellow,8/07/1736
Alison; Archibald (1757 - 1839),Fellow,15/11/1792
Allamand; Johann Nicholaus Sebastian (1713 - 1787),Fellow,22/01/1747
Allan; Thomas (1777 - 1833),Fellow,6/04/1815
Allbutt; Sir; Thomas Clifford (1836 - 1925),Fellow,3/06/1880
Allegre; Claude Jean,Foreign Member,13/05/2002
Allen; Edgar Johnson (1866 - 1942),Fellow,07/05/1914
Allen; Edmond (- 1763),Fellow,12/05/1726
Allen; Herbert Stanley (1873 - 1954),Fellow,15/05/1930
Allen; John (c 1660 - 1741),Fellow,22/10/1730
Allen; John Frank (1908 - 2001),Fellow,17/03/1949
Allen; John Robert Laurence,Fellow,15/03/1979
Allen; Norman Percy (1903 - 1972),Fellow,15/03/1956
Allen; Percival (1917 - 2008),Fellow,15/03/1973
Allen; Sir; Geoffrey,Fellow,18/03/1976
Allen; Thomas (- 1684),Fellow,6/02/1668
Allen; William (1770 - 1843),Fellow,19/11/1807
Allen; William (1793 - 1864),Fellow,18/11/1841
Alley; Richard B,Foreign Member,30/04/2014
Alleyn; John (1621 - 1663),Original Fellow,20/05/1663
Alleyne; John (- 1777),Fellow,16/05/1776
Allibone; Thomas Edward (1903 - 2003); Physicist,Fellow,18/03/1948
Allioni; Carlo (1725 - 1804),Fellow,6/04/1758
Allix; William (c 1689 - 1769),Fellow,25/01/1753
Allman; George James (1812 - 1898),Fellow,1/06/1854
Allman; George Johnston (1824 - 1904),Fellow,12/06/1884
Allmand; Arthur John (1885 - 1951),Fellow,02/05/1929
Allonville; Jacques Eugene d' (1671 - 1732); Chevalier de Louville,Fellow,9/06/1715
Allshire; Robin Campbell,Fellow,19/05/2011
Almeyda; Theodore de (1722 - 1803),Fellow,9/03/1758
Alpers; Michael Philip,Fellow,15/05/2008
Alruz; Johann Wilhelm (- 1755),Fellow,6/11/1729
Alstroemer; John (1742 - 1786),Fellow,24/12/1778
Althorp; George John (1758 - 1834); 2nd Earl Spencer,Fellow,6/04/1780
Althorp; John Charles (1782 - 1845); 3rd Earl Spencer,Fellow,16/11/1820
Amagat; Emile Hilaire (1841 - 1915),Foreign Member,4/03/1897
Amaldi; Edoardo (1908 - 1989),Foreign Member,25/04/1968
Ambartsumian; Viktor Amazaspovich (1908 - 1996),Foreign Member,24/04/1969
