Western; William (? 1694 - 1729),Fellow,30/11/1721
Westheimer; Frank Henry,Foreign Member,30/06/1983
Westheimer; Gerald,Fellow,21/03/1985
Westmacott; Richard (1799 - 1872),Fellow,25/05/1837
Westminster; Robert (1767 - 1845); 1st Marquess of Westminster,Fellow,10/06/1841
Westoll; Thomas Stanley (1912 - 1995),Fellow,20/03/1952
Weston; Robert (fl 1767 - 1797),Fellow,28/05/1767
Weston; Stephen (1747 - 1830),Fellow,1/03/1792
Wetenhall; Edward (1636 - 1713),Fellow,4/07/1683
Wetherell; Alan Marmaduke (1932 - 1998),Fellow,18/03/1971
Wetherell; Sir; Charles (1770 - 1846),Fellow,16/12/1824
Wetstein; Caspar (- 1760),Fellow,4/07/1754
Wetstein; Johann Jakob (1693 - 1754),Fellow,5/04/1753
Wevelinchoven; Anthony de (- 1789),Fellow,5/04/1781
Weyl; Hermann (1885 - 1955),Foreign Member,25/06/1936
Weyland; John (1774 - 1854),Fellow,9/06/1814
Whalley; Thomas (fl 1708),Fellow,7/04/1708
Wharton; Richard (c 1765 - 1828),Fellow,12/07/1810
Wharton; Sir; William James Lloyd (1843 - 1905),Fellow,4/06/1886
Whatley; Frederick Robert,Fellow,20/03/1975
Whatman; James (1813 - 1887),Fellow,9/01/1840
Whatton; William Robert (1790 - 1835),Fellow,5/06/1834
Wheatstone; Sir; Charles (1802 - 1875); Physicist,Fellow,21/01/1836
Wheeler; David John (1927 - 2004),Fellow,19/03/1981
Wheeler; John Archibald,Foreign Member,09/03/1995
Wheeler; Sir; Robert Eric Mortimer (1890 - 1976),Statute 12,30/05/1968
Whelan; Michael John,Fellow,18/03/1976
Whelan; William Joseph,Fellow,12/03/1992
Wheler; Granville (1701 - 1770); Natural Philosopher,Fellow,27/06/1728
Wheler; Sir; George (1650 - 1723),Fellow,13/12/1677
Whetham; Sir; William Cecil Dampier (1867 - 1952),Fellow,06/06/1901
Whewell; William (1794 - 1866),Fellow,13/04/1820
Whichcote; Sir; Paul (1643 - 1721),Fellow,14/01/1675
Whidbey; Joseph (1755 - 1833),Fellow,21/11/1805
Whiddington; Richard (1885 - 1970),Fellow,07/05/1925
Whiffen; David Hardy (1922 - 2002),Fellow,17/03/1966
Whishaw; John (c 1765 - 1840),Fellow,23/02/1815
Whistler; Daniel (1619 - 1684),Original Fellow,20/05/1663
Whitaker; Thomas Dunham (1759 - 1821),Fellow,11/06/1818
Whitaker; William (1836 - 1925),Fellow,9/06/1887
Whitbread; Samuel Charles (1796 - 1879),Fellow,1/06/1854
White; Charles (1728 - 1813),Fellow,18/02/1762
White; Errol Ivor (1901 - 1985),Fellow,15/03/1956
White; John (1699 - 1769),Fellow,17/01/1723
White; John Graham,Fellow,26/05/2005
White; John William,Fellow,11/03/1993
White; Michael James Denham (1910 - 1983),Fellow,16/03/1961
White; Nicholas John,Fellow,18/05/2006
White; Philip Bruce (1891 - 1949),Fellow,20/03/1941
White; Richard (fl 1661),Fellow,26/06/1661
White; Robert Stephen,Fellow,10/03/1994
White; Simon David Manton,Fellow,15/05/1997
White; Sir; Frederick William George (1905 - 1994),Fellow,17/03/1966
White; Sir; William Henry (1845 - 1913),Fellow,7/06/1888
White; Taylor (- 1772),Fellow,29/04/1725
White; Thomas (- 1754),Fellow,17/11/1726
White; Thomas (1724 - 1797),Fellow,19/06/1777
White; William Archibald Armstrong (1776 - 1847),Fellow,13/04/1837
White; William Henry (fl 1808 - 1827),Fellow,10/11/1808
Whitefoord; Caleb (1734 - 1810),Fellow,24/06/1784
Whitehead; Alfred North (1861 - 1947),Fellow,11/06/1903
Whitehead; John Henry Constantine (1904 - 1960),Fellow,16/03/1944
Whitehurst; John (1713 - 1788),Fellow,13/05/1779
Whitelaw; James Hunter,Fellow,14/03/1996
Whiteside; John (1679 - 1729),Fellow,3/07/1718
Whitfeld; Henry (c 1741 - 1813),Fellow,9/03/1786
Whitham; Gerald Beresford (1927 - 2014),Fellow,18/03/1965
Whitmore; George (- 1805),Fellow,23/11/1797
Whittaker; John Macnaghten (1905 - 1984),Fellow,17/03/1949
Whittaker; Sir; Edmund Taylor (1873 - 1956); Mathematician,Fellow,11/05/1905
Whittam; Ronald,Fellow,15/03/1973
Whittard; Walter Frederick (1902 - 1966),Fellow,21/03/1957
Whitteridge; David (1912 - 1994),Fellow,19/03/1953
Whittington; Harry Blackmore (1916 - 2010),Fellow,18/03/1971
Whittle; Peter,Fellow,16/03/1978
Whittle; Sir; Frank (1907 - 1996); Knight Air Commodore Engineer and Inventor,Fellow,20/03/1947
Whitworth; Sir; Joseph (1803 - 1887),Fellow,11/06/1857
Whytlaw-Gray; Robert (1877 - 1958),Fellow,10/05/1928
Whytt; Robert (1714 - 1766),Fellow,16/04/1752
Wicardel; Francois (fl 1715 - 1754); Chevalier de Fleury,Fellow,30/11/1715
Wickramasinghe; Hemantha Kumar,Fellow,28/03/2019
Wickstead; John Churchill (- 1774),Fellow,5/04/1716
Widdowson; Elsie May (1906 - 2000),Fellow,18/03/1976
Widdrington; Samuel Edward (1787 - 1856),Fellow,22/12/1842
Wiedemann; Gustav Heinrich (1826 - 1899),Foreign Member,31/01/1884
Wieland; Heinrich Otto (1877 - 1957),Foreign Member,25/06/1931
Wiesel; Torsten Nils,Foreign Member,24/06/1982
Wiesner; Karel Frantisek (1919 - 1986),Fellow,20/06/1969
Wigglesworth; Sir; Vincent Brian (1899 - 1994),Fellow,16/03/1939
Wight; Robert (1796 - 1872),Fellow,7/06/1855
Wigley; Dale Brian,Fellow,27/05/2004
Wigner; Eugene Paul (1902 - 1995),Foreign Member,23/04/1970
Wigram; Sir; James (1793 - 1866),Fellow,2/04/1835
Wigram; Sir; Robert (1773 - 1843),Fellow,27/02/1806
Wilberforce; Samuel (1805 - 1873),Fellow,18/12/1845
Wilbraham; George (1779 - 1852),Fellow,8/03/1821
Wilbraham; Roger (c 1744 - 1829),Fellow,28/02/1782
Wilbraham; Thomas (c 1702 - 1782),Fellow,18/03/1742
Wilcke; Johann Karl (1732 - 1796),Fellow,30/04/1789
Wild; John Paul (1923 - 2008),Fellow,19/03/1970
Wilde; Henry (1833 - 1919),Fellow,4/06/1886
Wiles; Sir; Andrew John,Fellow,16/03/1989
Wilhelmius; Wilhelmus (1720 - 1771),Fellow,27/01/1743
Wilkes; Israel (c 1722 - 1805),Fellow,6/03/1760
Wilkes; John (1725 - 1797),Fellow,13/04/1749
Wilkes; Sir; Maurice Vincent (1913 - 2010),Fellow,15/03/1956
Wilkie; Alex James,Fellow,10/05/2001
Wilkie; Andrew Oliver,Fellow,02/05/2013
Wilkie; Douglas Robert (1922 - 1998),Fellow,18/03/1971
Wilkins; John (1614 - 1672),Founder Fellow,28/11/1660
Wilkins; Maurice Hugh Frederick (1916 - 2004),Fellow,19/03/1959
Wilkins; Sir; Charles (1749 - 1836),Fellow,12/06/1788
Wilkins; William (1778 - 1839),Fellow,2/06/1831
Wilkinson; Guy,Fellow,09/05/2018
Wilkinson; James Hardy (1919 - 1986),Fellow,20/03/1969
Wilkinson; John (- c 1819),Fellow,28/06/1764
Wilkinson; Sir; Denys Haigh (1922 - 2016),Fellow,15/03/1956
Wilkinson; Sir; Geoffrey (1921 - 1996),Fellow,18/03/1965
Wilkinson; Sir; John Gardner (1797 - 1875),Fellow,18/12/1834
Wilkinson; William Lionel,Fellow,15/03/1990
Wilks; Mark (c 1760 - 1831),Fellow,23/02/1826
Wilks; Sir; Samuel (1824 - 1911),Fellow,2/06/1870
Willan; Robert (1757 - 1812),Fellow,23/02/1809
Willett; John Willett (- 1815),Fellow,8/12/1774
Willett; Ralph (1719 - 1795),Fellow,21/06/1764
Willetts; Lord; David Linsay; Baron Willetts,Honorary Fellow,09/05/2019
Willey; Arthur (1867 - 1942),Fellow,05/06/1902
"William Arthur Philip Louis; His Royal Highness, Prince of Wales",Royal Fellow,23/06/2010
William Augustus (1721 - 1765); Duke of Cumberland,Royal Fellow,4/12/1760
William Charles Henry Friso (1711 - 1751); Prince of Orange,Royal Fellow,7/03/1734
William Frederick (1776 - 1834); 2nd Duke of Gloucester,Fellow; Royal Fellow,14/01/1797
William Henry (1743 - 1805); 1st Duke of Gloucester,Royal Fellow,10/01/1780
William IV (1765 - 1837); King of Great Britain and Ireland,Patron,10/03/1831
Williams (fl 1708),Fellow,7/04/1708
Williams; Alan Frederick (1945 - 1992),Fellow,15/03/1990
Williams; Carrington Bonsor (1889 - 1981),Fellow,18/03/1954
Williams; Charles Greville Hanson (1829 - 1910),Fellow,5/06/1862
Williams; Charles James Blasius (1805 - 1889),Fellow,2/04/1835
Williams; David (1938 -),Fellow,15/03/1984
Williams; Dionysius (1733 - 1775),Fellow,8/05/1766
Williams; Dudley Howard,Fellow,17/03/1983
Williams; Evan James (1903 - 1945),Fellow,16/03/1939
Williams; James Gordon,Fellow,10/03/1994
Williams; John (1778 - 1849),Fellow,6/03/1828
Williams; John Lloyd (fl 1801),Fellow,21/05/1801
Williams; Moses (1686 - 1742),Fellow,5/11/1719
Williams; Reeve (fl 1682 - 1703),Fellow,11/01/1699
Williams; Richard Tecwyn (1909 - 1979),Fellow,16/03/1967
Williams; Robert Hughes,Fellow,15/03/1990
Williams; Robert Joseph Paton (1926 - 2015),Fellow,16/03/1972
Williams; Roger (- ? 1665),Fellow,3/02/1664
Williams; Sir; Alwyn (1921 - 2004),Fellow,16/03/1967
Williams; Sir; Frederic Calland (1911 - 1977),Fellow,16/03/1950
Williams; Sir; John (1642 - 1680),Fellow,23/03/1671
Williams; Sir; John Wesley (1788 - 1841),Fellow,31/01/1839
Williams; Sir; Peter Michael,Fellow,13/05/1999
Williams; Stephen (c 1701 - 1741),Fellow,13/06/1734
Williams; Thomas (1819 - 1865),Fellow,3/06/1858
Williams; Timothy John,Fellow,19/04/2012
Williamson; Alexander William (1824 - 1904),Fellow,7/06/1855
Williamson; Benjamin (1827 - 1916),Fellow,12/06/1879
Williamson; David Theodore Nelson (1923 - 1992),Fellow,21/03/1968
Williamson; Geordie,Fellow,09/05/2018
Williamson; John (1713 - 1763),Fellow,15/06/1749
Williamson; Robert,Fellow,13/05/1999
Williamson; Sir; Joseph (1633 - 1701),Original Fellow,20/05/1663
Williamson; William Crawford (1816 - 1895),Fellow,1/06/1854
Williams-Wynn; Charles Watkin (1775 - 1850),Fellow,24/05/1827
Williams-Wynn; Sir; Watkin (1749 - 1789),Fellow,17/06/1773
Willis; Henry Norton (- 1819),Fellow,15/12/1791
Willis; John Christopher (1868 - 1958),Fellow,15/05/1919
Willis; John Raymond (1940 -),Fellow,12/03/1992
Willis; Robert (1800 - 1875),Fellow,22/04/1830
Willis; Thomas (1621 - 1675),Fellow,18/11/1663
Willliams; Ellen Dudley,Foreign Member,28/04/2016
Willliams; Roger Lee,Fellow,04/05/2017
Willmer; Edward Nevill (1902 - 2001),Fellow,24/03/1960
Willoughby; Henry (1726 - 1800); 5th Baron Middleton,Fellow,25/01/1787
Willoughby; Hugh (- 1765); 15th Baron Willoughby of Parham,Fellow,14/02/1744
Willoughby; Thomas (c 1670 - 1729); 1st Baron Middleton,Fellow,30/11/1693
Willstatter; Richard (1872 - 1942),Foreign Member,21/06/1928
Willughby; Charles (- ? 1694),Fellow,25/07/1683
Willughby; Francis (1635 - 1672); Naturalist,Original Fellow,20/05/1663
Wilmot; Sir; Edward (1693 - 1786),Fellow,15/01/1730
Wilmot; Sir; Robert John (1784 - 1841),Fellow,24/05/1821
Wilmut; Ian,Fellow,13/05/2002
Wilson; Alexander (c 1781 - 1863),Fellow,1/03/1838
Wilson; Allan Charles (1934 - 1991),Fellow,20/03/1986
Wilson; Arthur James Cochran (1914 - 1995),Fellow,21/03/1963
Wilson; Benjamin (1721 - 1788),Fellow,5/12/1751
Wilson; Charles Thomson Rees (1869 - 1959); Physicist,Fellow,14/06/1900
Wilson; Colin James Ness,Fellow,30/04/2015
Wilson; Edmund Beecher (1856 - 1939),Foreign Member,05/05/1921
Wilson; Edward Osborne,Foreign Member,28/06/1990
Wilson; George Fergusson (1822 - 1902),Fellow,7/06/1855
Wilson; Glocester (- ? 1852),Fellow,28/04/1796
Wilson; Harold Albert (1874 - 1964); Physicist,Fellow,03/05/1906
Wilson; Horace Hayman (1786 - 1860),Fellow,10/04/1834
Wilson; Ian Andrew,Fellow,11/05/2000
Wilson; James (1765 - 1821); Surgeon,Fellow,19/05/1803
Wilson; James Harold (1916 - 1995); Baron Wilson of Rievaulx,Statute 12,12/06/1969
Wilson; James Thomas (1861 - 1945),Fellow,06/05/1909
Wilson; John (1804 - 1875),Fellow,6/02/1845
Wilson; John (c 1788 - 1870); Physician,Fellow,19/02/1846
Wilson; John Tuzo (1908 - 1993),Fellow,21/03/1968
Wilson; Sir; Alan Geoffrey,Fellow,18/05/2006
Wilson; Sir; Alan Herries (1906 - 1995),Fellow,19/03/1942
Wilson; Sir; Charles William (1836 - 1905),Fellow,4/06/1874
Wilson; Sir; Giffin (- ? 1848),Fellow,16/04/1801
Wilson; Sir; Graham Selby (1895 - 1987),Fellow,16/03/1978
Wilson; Sir; Isaac (c 1756 - 1844),Fellow,24/02/1831
Wilson; Sir; John (1741 - 1793),Fellow,13/03/1783
Wilson; Sir; Robert (1927 - 2002),Fellow,20/03/1975
Wilson; Sir; William James Erasmus (1809 - 1884),Fellow,20/02/1845
Wilson; Sophie Mary,Fellow,02/05/2013
Wilson; William (1875 - 1965),Fellow,03/05/1923
Wilson; William Edward (1851 - 1908),Fellow,4/06/1896
Wimshurst; James (1832 - 1903),Fellow,9/06/1898
Winde; William (c 1647 - 1722),Original Fellow,20/05/1663
Windham; Joseph (1739 - 1810),Fellow,8/11/1781
Windham; William (1717 - 1761),Fellow,26/01/1744
Windle; Alan Hardwick,Fellow,15/05/1997
Windle; Sir; Bertram Coghill Alan (1858 - 1929),Fellow,1/06/1899
Windsor; Andrew; His Royal Higness The Duke of York,Royal Fellow,02/05/2013
Windsor; Colin George,Fellow,09/06/1995
"Windsor; Edward George Nicholas Paul Patrick; His Royal Highness, Duke of Kent",Royal Fellow,15/03/1990
Windsor; Other Hickman (1751 - 1799); 5th Earl of Plymouth,Fellow,22/04/1773
Winge; Ojvind (1886 - 1964),Foreign Member,01/05/1947
Winkler; Johann Heinrich (1703 - 1770),Fellow,8/01/1747
Winn; Rowland (1609 - 1676),Fellow,27/11/1673
Winnington; Sir; Edward (1749 - 1805),Fellow,10/01/1805
Winogradsky; Sergius (1856 - 1953),Foreign Member,26/06/1919
Winter; Sir; Gregory Paul,Fellow,15/03/1990
Winthrop; John (1606 - 1676); Governor of Connecticut,Original Fellow,20/05/1663
Winthrop; John (1681 - 1747),Fellow,4/04/1734
Winthrop; John (1714 - 1779),Fellow,20/02/1766
Wintringham; Sir; Clifton (1710 - 1794),Fellow,23/12/1742
Wirtemberg; Frederick Charles William (1754 - 1816); Prince of Wirtemberg,Fellow,11/05/1797
